SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S01,80662250879,1,별로 커버도 안되고 왜 좋은지 모르겟어요,얼굴이 다 뒤집어져서 찾아보다 구매하게됐는데 라이트도 제 얼굴보다 톤이 어두운것같아여 아쉽지만 피부엔 좋다고하니 써볼게오,같이온퍼프랑 쓰니 편해요,피부가 좀 편하다 하는 느낌이 있어요,빠른배송 좋구요,,,,,
N,P08,S47,27999933522,0,향이,향도,향은,지속력,블랑쉬,34.44,12.04,10.53,10.14,9.09
N,P08,S47,27999933522,1,감사합니다,향은좋아요,바이레도 향 생각하고 산건데 똑같은거 아닌가요 진짜 마음에 들어요,좋습니다,비누향 찾고 있는데 바이레도는 가격이 부담이라 이거 샀는데 지인들이 바이레도 샀냐고 하네요,,,,,
N,P10,S29,82896338429,0,재구매,있어요,촉촉,발림성,가성비,12.78,11.9,11.48,8.96,7.79
N,P10,S29,82896338429,1,보라색 버전으로 자주 사용했는데 이 제품이 더 촉촉한거 같아요,바르면 촉촉한것 같아요,가성비짱 아이크림이라 재구매했습니다,가격도 저렴 샘플두 주시고 고맙습니다,가격도 저렴하고,,,,,
N,P06,S26,82389471883,0,클리오,재구매,저렴하게,부드럽게,지속력,9.56,7.65,7.21,6.62,6.53
N,P06,S26,82389471883,1,좋아요,너무 좋아요,그래서 이번처럼 저렴하게 구매하려고 하는데 가격 너무 착해요감사합니다,잘 안번지고 부드러워요,잘 말려주지 않으면 금방 번져서 조심해야할 것 같아요,,,,,
N,P12,S40,26731935522,0,머릿결,향도,재구매,향이,만족,11.16,8.39,7.59,6.9,6.38
N,P12,S40,26731935522,1,최고입니다,좋은거같긴한데 아직은 잘모르겠어요,튜브형이라더편하네요,배송 빠르고 좋아요,배송도 빠르고 좋아요,,,,,
N,P12,S32,28027353524,0,효과,향도,탈모,거품,세정력,12.77,11.56,11.32,9.27,6.88
N,P12,S32,28027353524,1,남자친구 머리가 풍성해지길 바라며 선물해봅니다,처음 사용하는 제품이라 걱정했던것보다 느낌은 좋습니다,효과가 있길 바래요단발인데 두번 펌핑으로도 거품이 잘 안나서 좀 부족하네요,제품 두통다 3분의1이 흘러서 배송되고 펌프도 안됩니다,모발 빠짐이 확실히 줄었어요,,,,,
N,P07,S14,83510045182,0,만족합니다,광이,커버,생각보다,톤업,2.66,2.6,2.56,2.35,1.76
N,P07,S14,83510045182,1,빠른 배송 감사합니다,바르는 순간 얼굴에서 광이 퍼져요,아직 잘모르겠어요,향기도 괜찮고 광택도 나는듯해요,배송은 칼이에요,,,,,
N,P07,S01,12562330415,0,만족,커버,비비,좋습니다,저렴하게,6.21,4.45,4.04,3.6,3.47
N,P07,S01,12562330415,1,빠른배송 감사합니다,10년전쯤에 처음사용했을때 과하지않으면서 자연스러워서 만족했던 제품이였어요,피부트러블이 있다보니 써봤는데 커버력은 조금 떨어지지만 성분이 순하고 좋아서 쭈욱 쓰고있어요,추천,챙겨주신 샘플도 감사해요,,,,,
N,P07,S15,5614392577,0,발색,색상,예뻐요,색이,웜톤,17.11,12.16,10.46,7.42,6.87
N,P07,S15,5614392577,1,여자친구 선물인데 이름때매 직원들한테 놀림당햇네요,기존에 사용하던 스어필보다 진해서 약간 부담스럽긴하지만조절해서 바르면 괜찮을듯,색상 정말 마음에 들어요,진심 충격가루날림도 심해서 살짝만 터치하고 볼에도 진짜 살짝만 터치 해야 쨍한듯 핑크핑크 예쁘게 발색되요근데 그 조절이 안 쉽네요,봄웜인데 정말 잘어울리는 살구빛이고 파우더리한 질감 때문에 더 보송하고 상큼해보이는 컬러예요,,,,,
N,P09,S21,26840532526,0,커서,시원,백탁,좋습니다,촉촉,14.06,11.98,8.45,8.16,7.91
