SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P08,S47,9189323907,1,비누향같은,우아하고 아름다운향 향기가 참 예쁩니다 가격은 좀 있지만 양이 넉넉해서 맘에 들어요,잔향도 너무 좋고 선물받은 사람도 마음에 들어합니다,선물하려는데 생각해보니 포장때문에 상품이 맞게 왔는지는 확인을 못해보네요,백화점에서만 구매하다가 넘 좋아서 또 구매하고 또 구매해요,,,,,
N,P07,S01,14942798064,0,레노덤,재구매,커버,촉촉,만족,15.65,6.19,5.58,5.4,5.32
N,P07,S01,14942798064,1,너무너무 좋기 들뜸도 없고 짱조아요,배송도 빠르고 퍼프도 더 챙겨주셔서 좋아요쿠션은 항상 쓰던거라서 더말할것도 없어요,배송 빠릅니다,무엇보다 트러블이 안남 그러나 물광 장난아니라서 싫으신분들은 양 조절 잘해야할듯용,쓰는 만큼 짜서 쓸수 있는게 위생적이여서 좋았고 뻑뻑하지않고 부드럽게 발려서 좋아요지복합성 피부라 유분기가 있는 저에게 끈적임이 느껴지지 않아 만족스럽네요사장님 완전 친절상담 해주시고 감사합니다,,,,,
N,P05,S07,23075090491,0,색상,색이,발색,틴트,예뻐요,11.89,9.08,7.94,7.64,7.63
N,P05,S07,23075090491,1,예뻐요 발색도 좋아요,컬러가몬가 고급지네요,믿고쓰는 입생로랑 틴트네요,만족함,선물포장 동봉해달라고 는데 안보내 주셨어요,,,,,
N,P10,S34,17266377889,0,피부가,마사지,참존,각질,엄마가,10.01,9.01,7.93,7.15,6.38
N,P10,S34,17266377889,1,소문난 마사지크림 사용해봤습니다,콘트롤 크림을 사용한지 꽤 오래됐네요,좋아요,부모님때부터 써왔습니다,단골 입니다,,,,,
N,P09,S17,22356331129,0,바르기,끈적,좋습니다,편하고,편해요,8.36,7.56,6.74,6.55,5.06
N,P09,S17,22356331129,1,잘 발리고 좋으네요,전아직 안써봤는데 양은 많지않지만 덧바르기 좋아보여요,신랑이 쓰는데 편하고 좋다고 합니다,바르기좋아요,좋아요,,,,,
N,P04,S09,12249639438,0,재구매,메디힐,저렴,촉촉,좋습니다,70.49,42.15,38.04,30.92,30.32
N,P04,S09,12249639438,1,재구매늘쓰던 제품 만족합니다,배송도 빠르구 물건도 확실합니다,아주괜춘하네요,늘 사용하던 제품이 떨어져 구매했는데 가격도 싸고 배송도 빠르고 좋네요,재구매5번째 구매중입니다,,,,,
N,P04,S43,82246410475,0,섞어서,효과,재구매,곡물팩,촉촉,19.9,16.37,14.79,14.47,14.03
N,P04,S43,82246410475,1,사은품 감사합니다,아직사용전인데 보습위해서 구입했어요,율무팩은 처음해보는데 좋은거같아요,근데 여러군데 타회사 오트밀  검색해보니 색깔이 약간  누른색이던데 여긴 새하얀색이네요,팩으로쓰기에 자극적이고 얼굴따가워요입자가 큰거같아요,,,,,
N,P10,S29,82896338429,0,재구매,있어요,촉촉,발림성,가성비,12.74,11.87,11.52,9.1,8.0
N,P10,S29,82896338429,1,촉촉하고 잘 스며들어요,보라색 버전으로 자주 사용했는데  이 제품이 더 촉촉한거 같아요,가성비짱 아이크림이라 재구매했습니다,빠른배송 고맙습니다 가격도 저렴 샘플두 주시고 고맙습니다,재구매좋아요,,,,,
N,P12,S16,83440663737,0,효과가,염색,거품,부모님,흰머리가,3.82,2.64,2.35,2.05,1.99
N,P12,S16,83440663737,1,올케가 이거 좋은 거라며 뺏어 갔어요,거품많아요,효과가있는듯해요,아직 눈에 띄게 변한건 없지만 확신을 갖고 꾸준히 사용해볼까합니다,염색 기능도 있고 탈모기능도 약간 있는것 같습니다,,,,,
N,P07,S41,27104974525,0,들어요,커버,발림성,팩트,좋습니다,23.06,14.9,11.58,10.94,10.15
N,P07,S41,27104974525,1,너무 좋아요,아직사용전 이라서 쇼호스트님이 말한대로 좋았으면 좋겠어요,빠른 배송이 마음에 듭니다,퍼프 써본것중 젤 모찌하네영 짱부드러움굿굿 엄니랑 나눠서쓰려고 샀는데 만족해요,케이스도 이쁘고 지속력 있어요,,,,,
N,P07,S01,28759637555,0,is,good,fir,잘받았,se,2.64,2.05,1.07,0.82,0.76
N,P07,S01,28759637555,1,잘받았습니다,,,,,,,,,
N,P07,S01,82494159058,1,괜찮아요   발림성도 좋고,부드럽게 잘 발려요,좋은상품 빠른배송 감사드립니다,배송도 빠르고 케이스도이쁘고옛날에 쓰던게 없어져서 이거로 사뫘어요 ,발림성과 밀착력이 아주 좋아요커버력도 좋고,,,,,
N,P09,S22,11415677047,0,좋습니다,백탁,만족,발림성,순하고,8.88,7.08,6.42,5.9,5.51
N,P09,S22,11415677047,1,발림성이 좋고 적당한 유분기 좋아요,사용하던 제품이라 저렴하게 구입했네요,좋을거같아요,좋습니다,가격도 착하고 배송도 빠르네요유통기한도 넉넉하게 24년꺼루보내주셨어요,,,,,
N,P09,S22,27212153522,0,톤업,좋습니다,있어요,저렴하게,만족,7.24,6.88,6.1,5.45,5.27
N,P09,S22,27212153522,1,다만 선크림인데 색이 있어서인지 마스크에 묻더라구요,좋아요,늘잘쓰고있어요,항상 사용하는 선크림입니다 가격저렴한걸로 잘샀어요,잘 쓰고 있는데 제 피부타입이 바뀌어서 그런지 좀 건조하고 약간 뜨는현상은 있네요,,,,,
N,P07,S45,27860613528,0,발색,예뻐요,광이,은은,만족,12.05,12.0,9.39,5.41,5.39
N,P07,S45,27860613528,1,유튜브에서 유명하길래 사봤어요,하이라이터 색도 피부에 바르니까 정말 딱 예쁘고 눈앞머리에 했는데 정말 예쁘네용,색감도 자연스럽고,은근 진해요,너무너무 예쁩니다,,,,,
N,P07,S01,23298052494,0,성분이,커버,비비,만족,발림성,12.11,7.09,6.78,5.51,4.43
N,P07,S01,23298052494,1,화해어플 보고 성분 괜찮은 걸로 샀어요,일단 비비크림 특유의 잿빛이 많이 돌지 않고 파운데이션 처럼 예쁜 상아색이라 좋았어요피부에 바르면 비비크림 특유의 잿빛이 느껴지지 않고 화사하게 표현되서 좋았구요,지속력이나 커버력은 약하지만 성분이착해서 부담이없고 트러블없고 눈시림없어서좋아요,디렉터파이님의 추천으로 사용해봤는데 발림성 좋고 이만하면 커버력도 좋아요,다만 티타늄다이옥사이드니 건조한 피부는 기초 꼼꼼히 하고 바르세요,,,,,
N,P07,S01,82401314153,0,좋아,,,,,0.98,,,,
N,P07,S01,82401314153,1,애정하는거예요,마스크 착용으로 이마 부분이나 볼쪽에 살짝 커버하는 용으로 써요,오래동안 사용하던 제품입니다,잘 받았습니다 만족해요,너무좋네요,,,,,
N,P07,S01,82649009778,0,촉촉하고,커버,배송도,좋습니다,비비,4.02,1.68,1.67,1.56,1.55
N,P07,S01,82649009778,1,딸이 대 만족합니다,빠른배송 감사합니다,만족스럽습니다,회색비비 보다 핑크비비가 훨 좋아요,원래쓰던 제품인데 다써서 구매하려고 찾다가 가격도 다른데에 비해 저렴하고 상품평도 좋아서 바로 구매했어요,,,,,
N,P07,S01,83353015046,0,멀티밤,발림성,부드럽고,촉촉하,은은,2.08,1.21,1.12,0.95,0.66
N,P07,S01,83353015046,1,기미도 조금 옅어진거 같구   촉촉하니 조아요,발림성도 괜찮아요,,,,,,,,
N,P07,S01,83371011155,0,섞어,,,,,1.0,,,,
N,P07,S01,83371011155,1,좋어요,톤업이랑 섞어 바르나 비비만 바르나 둘다 같아요,바를때 퍽퍽함이 있어서 선크림이랑 섞어바르고있어요,두가지 구매해서 섞어서 발랐어요,얼굴이 화사해졌어요,,,,,
N,P09,S17,14266774954,0,끈적,바르기,좋습니다,편하고,발림성,7.97,7.47,6.83,6.63,5.13
N,P09,S17,14266774954,1,서핑할때 얼굴은 물론 손등 발등 목 귀까지 다 바르는데 좋아요,스틱으로 되어있어서 손에 묻히지 않아도 바를수 있고 엄청 촉촉하고 부드러워서 정말 좋아요,자외선 차단이 잘 되는지는 잘모르겠지만 사용이 편해서 좋아요,어머니 부탁으로 산건데 하루도 안되서아침에 왔네요택배속도에 놀랐습니다,간편해서 자주 바르게 되고 훨씬 바르게 쉬우니 더 잘 보호되는것 같아요,,,,,
